epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,569.486,1.25277,0.99304,1.10673,0.77742,0.66853,0.73707,0.42975,1.5109,1.13015,1.27104,0.000540037,0.000540037,0.000540037
43,583.784,1.23304,0.97008,1.09224,0.7372,0.65106,0.68925,0.40232,1.51935,1.22737,1.26757,0.000531038,0.000531038,0.000531038
44,597.117,1.25566,0.95762,1.08683,0.80115,0.6901,0.75187,0.43535,1.48377,1.11079,1.25115,0.000522039,0.000522039,0.000522039
45,608.448,1.21292,0.96154,1.08197,0.82016,0.63337,0.74204,0.43704,1.47347,1.10291,1.2542,0.00051304,0.00051304,0.00051304
46,622.201,1.2326,0.9408,1.08535,0.79841,0.68184,0.76046,0.4346,1.48361,1.06964,1.24864,0.00050404,0.00050404,0.00050404
47,636.162,1.21966,0.93626,1.08351,0.78056,0.69202,0.75701,0.45553,1.4688,1.07916,1.24421,0.000495041,0.000495041,0.000495041
48,649.798,1.19493,0.9217,1.06935,0.77589,0.64973,0.73227,0.43419,1.48376,1.11789,1.24875,0.000486042,0.000486042,0.000486042
49,661.021,1.20474,0.92598,1.09162,0.72187,0.71966,0.75982,0.44914,1.48836,1.08343,1.24728,0.000477043,0.000477043,0.000477043
50,674.484,1.18753,0.91952,1.07409,0.78742,0.67531,0.73694,0.43256,1.50344,1.09777,1.25946,0.000468044,0.000468044,0.000468044
51,688.64,1.21325,0.93106,1.07967,0.77471,0.68575,0.74229,0.43499,1.50046,1.07282,1.25487,0.000459045,0.000459045,0.000459045
52,703.2,1.20857,0.91337,1.07547,0.76265,0.68885,0.74267,0.43957,1.49518,1.10366,1.2465,0.000450046,0.000450046,0.000450046
53,714.777,1.17703,0.90074,1.07799,0.80703,0.67988,0.7507,0.45287,1.48286,1.05505,1.25857,0.000441047,0.000441047,0.000441047
